,,,Scope/Entity,,,,Service/Entity,,,,,,count,entity_type,scope,scope_description,service_identifier,service_display_text,service_description,service_endpoint,setting_identifier,settings_table,service_table,latest_value,latest_value_timestamp
10,4,BMS,BMSParent,10,4,bms.services.bms,BMSbms.services.bmsParent,,0,4,,,1,Parent,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_type_setting,,,
1,5,BPS,BPSParent,1,5,bps.services.rtc,BPSbps.services.rtcParent,BPSbps.services.rtcbps.ed.ws.gc,1,5,,,1,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.gc,entity_service_type_setting,entity_service_type_setting,BARRTC,3972
2,5,BPS,BPSIntegrator,2,5,bps.services.rtc,BPSbps.services.rtcIntegrator,BPSbps.services.rtcbps.ed.ws.gc,2,5,,,2,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.gc,entity_service_type_setting,entity_service_type_setting,BARRTC,3972
3,5,BPS,BPSParent,3,5,bps.services.rtc,BPSbps.services.rtcParent,BPSbps.services.rtcbps.ed.ws.pwd,1,6,,,1,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.pwd,entity_service_type_setting,entity_service_type_setting,47baa419f3225b2688f395203d3338d8a971cd5e4569b6eeb146ba78f7ae56e9,3971
4,5,BPS,BPSIntegrator,4,5,bps.services.rtc,BPSbps.services.rtcIntegrator,BPSbps.services.rtcbps.ed.ws.pwd,2,6,,,2,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.pwd,entity_service_type_setting,entity_service_type_setting,47baa419f3225b2688f395203d3338d8a971cd5e4569b6eeb146ba78f7ae56e9,3971
5,5,BPS,BPSParent,5,5,bps.services.rtc,BPSbps.services.rtcParent,BPSbps.services.rtcbps.ed.ws.usr,1,7,,,1,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.usr,entity_service_type_setting,entity_service_type_setting,EDTESTRTC,3970
6,5,BPS,BPSIntegrator,6,5,bps.services.rtc,BPSbps.services.rtcIntegrator,BPSbps.services.rtcbps.ed.ws.usr,2,7,,,2,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.ed.ws.usr,entity_service_type_setting,entity_service_type_setting,EDTESTRTC,3970
7,5,BPS,BPSParent,7,5,bps.services.rtc,BPSbps.services.rtcParent,BPSbps.services.rtcbps.entity.reference,1,8,,,1,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.entity.reference,entity_service_type_setting,entity_service_type_setting,BARKO,3969
8,5,BPS,BPSIntegrator,8,5,bps.services.rtc,BPSbps.services.rtcIntegrator,BPSbps.services.rtcbps.entity.reference,2,8,,,2,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,bps.entity.reference,entity_service_type_setting,entity_service_type_setting,BARKO,3969
9,5,BPS,BPSDevice,9,5,bps.services.rtc,BPSbps.services.rtcDevice,,0,8,,,13,Device,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_type_setting,,,
10,5,BPS,BPSParent,10,5,bps.services.rtc,BPSbps.services.rtcParent,,0,8,,,29,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_type_setting,,,
11,5,BPS,BPSParent,11,5,bps.services.rtc,BPSbps.services.rtcParent,,0,8,,,28,Parent,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_setting,,,
12,5,BPS,BPSIntegrator,12,5,bps.services.rtc,BPSbps.services.rtcIntegrator,,0,8,,,26,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_type_setting,,,
13,5,BPS,BPSDevice,13,5,bps.services.rtc,BPSbps.services.rtcDevice,,0,8,,,12,Device,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_setting,,,
14,5,BPS,BPSIntegrator,14,5,bps.services.rtc,BPSbps.services.rtcIntegrator,,0,8,,,27,Integrator,BPS,Bitventure Payment Service,bps.services.rtc,Realtime Payments,Realtime Payments Service,/rtc,,entity_service_setting,,,
1,6,BSS,BSSParent,1,6,bss.services.bss,BSSbss.services.bssParent,BSSbss.services.bssbss.redirect.url,1,9,,,86,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,bss.redirect.url,entity_service_type_setting,entity_service_type_setting,http://www.bitventure.co.za,5059
2,6,BSS,BSSParent,2,6,bss.services.bss,BSSbss.services.bssParent,BSSbss.services.bssbss.sms.footer,1,10,,,86,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,bss.sms.footer,entity_service_type_setting,entity_service_type_setting,Graceful Enterprise (EasyAVS),5058
3,6,BSS,BSSParent,3,6,bss.services.bss,BSSbss.services.bssParent,BSSbss.services.bssbss.sms.header,1,11,,,86,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,bss.sms.header,entity_service_type_setting,entity_service_type_setting,Bank Statement Service. Please retrieve your statements - ,5057
4,6,BSS,BSSIntegrator,4,6,bss.services.bss,BSSbss.services.bssIntegrator,BSSbss.services.bssentity.redirect.url,1,12,,,1,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,entity.redirect.url,entity_service_setting,entity_service_setting,https://www.bitventure.co.za/,458
5,6,BSS,BSSIntegrator,5,6,bss.services.bss,BSSbss.services.bssIntegrator,BSSbss.services.bssentity.webhook.url,1,13,,,1,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,entity.webhook.url,entity_service_setting,entity_service_setting,https://api.bitventure.co.za/demo/api/Webhook/BankStatements/,846
6,6,BSS,BSSIntegrator,6,6,bss.services.bss,BSSbss.services.bssIntegrator,BSSbss.services.bssmessage.footer,1,14,,,1,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,message.footer,entity_service_setting,entity_service_setting,Bitventure Consulting (Pty) Ltd,457
7,6,BSS,BSSIntegrator,7,6,bss.services.bss,BSSbss.services.bssIntegrator,BSSbss.services.bssmessage.header,1,15,,,1,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,message.header,entity_service_setting,entity_service_setting,Bitventure Bank Statement Service. Please login to your bank - ,456
8,6,BSS,BSSParent,8,6,bss.services.bss,BSSbss.services.bssParent,,0,15,,,91,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
9,6,BSS,BSSParent,9,6,bss.services.bss,BSSbss.services.bssParent,,0,15,,,9,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
10,6,BSS,BSSDevice,10,6,bss.services.bss,BSSbss.services.bssDevice,,0,15,,,8,Device,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
11,6,BSS,BSSIntegrator,11,6,bss.services.bss,BSSbss.services.bssIntegrator,,0,15,,,94,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
12,6,BSS,BSSPerson,12,6,bss.services.bss,BSSbss.services.bssPerson,,0,15,,,1,Person,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
13,6,BSS,BSSDevice,13,6,bss.services.bss,BSSbss.services.bssDevice,,0,15,,,1,Device,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
14,6,BSS,BSSParent,14,6,bss.services.bss,BSSbss.services.bssParent,,0,15,,,1,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_type_setting,,,
15,6,BSS,BSSParent,15,6,bss.services.bss,BSSbss.services.bssParent,,0,15,,,1,Parent,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
16,6,BSS,BSSDevice,16,6,bss.services.bss,BSSbss.services.bssDevice,,0,15,,,1,Device,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
17,6,BSS,BSSPerson,17,6,bss.services.bss,BSSbss.services.bssPerson,,0,15,,,1,Person,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
18,6,BSS,BSSIntegrator,18,6,bss.services.bss,BSSbss.services.bssIntegrator,,0,15,,,90,Integrator,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
19,6,BSS,BSSDevice,19,6,bss.services.bss,BSSbss.services.bssDevice,,0,15,,,8,Device,BSS,Bank Statement Service API,bss.services.bss,Bank Statements Service,Can perform the retrievel of bank statements,/,,entity_service_setting,,,
1,7,BVS,BVSParent,1,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,2,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
2,7,BVS,BVSParent,2,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,95,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
3,7,BVS,BVSDevice,3,7,bvs.services.bvs,BVSbvs.services.bvsDevice,,0,15,,,8,Device,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
4,7,BVS,BVSIntegrator,4,7,bvs.services.bvs,BVSbvs.services.bvsIntegrator,,0,15,,,92,Integrator,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
5,7,BVS,BVSParent,5,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,89,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
6,7,BVS,BVSDevice,6,7,bvs.services.bvs,BVSbvs.services.bvsDevice,,0,15,,,8,Device,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
7,7,BVS,BVSIntegrator,7,7,bvs.services.bvs,BVSbvs.services.bvsIntegrator,,0,15,,,88,Integrator,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
8,7,BVS,BVSParent,8,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,1,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
9,7,BVS,BVSParent,9,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,1,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
10,7,BVS,BVSDevice,10,7,bvs.services.bvs,BVSbvs.services.bvsDevice,,0,15,,,1,Device,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
11,7,BVS,BVSWeb Service,11,7,bvs.services.bvs,BVSbvs.services.bvsWeb Service,,0,15,,,1,Web Service,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_setting,,,
